id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,name
159280,2013,3,25,1929.0,1905,24.0,2236.0,2217,19.0,UA,1471,N37298,EWR,RSW,169.0,1068,19,5,2013-03-25 19:00:00,United Air Lines Inc.
189101,2013,4,26,956.0,1000,-4.0,1257.0,1334,-37.0,DL,1765,N717TW,JFK,SFO,337.0,2586,10,0,2013-04-26 10:00:00,Delta Air Lines Inc.
212435,2013,5,21,1320.0,1309,11.0,1430.0,1414,16.0,EV,4129,N11536,EWR,DCA,39.0,199,13,9,2013-05-21 13:00:00,ExpressJet Airlines Inc.
266804,2013,7,18,1222.0,1230,-8.0,1357.0,1419,-22.0,EV,5796,N13958,EWR,CLT,77.0,529,12,30,2013-07-18 12:00:00,ExpressJet Airlines Inc.
306581,2013,8,29,540.0,545,-5.0,921.0,921,0.0,B6,939,N535JB,JFK,BQN,198.0,1576,5,45,2013-08-29 05:00:00,JetBlue Airways
68828,2013,11,14,2031.0,2025,6.0,2342.0,2340,2.0,UA,314,N518UA,JFK,LAX,342.0,2475,20,25,2013-11-14 20:00:00,United Air Lines Inc.
164026,2013,3,30,1755.0,1755,0.0,2110.0,2114,-4.0,B6,675,N646JB,JFK,LAX,338.0,2475,17,55,2013-03-30 17:00:00,JetBlue Airways
289110,2013,8,10,1544.0,1545,-1.0,2003.0,2001,2.0,DL,4,N3764D,JFK,SJU,205.0,1598,15,45,2013-08-10 15:00:00,Delta Air Lines Inc.
161286,2013,3,27,1855.0,1900,-5.0,2019.0,2028,-9.0,9E,4091,N8623A,JFK,BWI,37.0,184,19,0,2013-03-27 19:00:00,Endeavor Air Inc.
205307,2013,5,13,1912.0,1915,-3.0,2055.0,2154,-59.0,DL,245,N3736C,JFK,PHX,262.0,2153,19,15,2013-05-13 19:00:00,Delta Air Lines Inc.
